District,temp,rain,humidity,wind_speed,Season
Udaipur,26.32,1539.8,85.52,17.66,Kharif
Udaipur,21.51,35.6,59.88,14.18,Rabi
Kota,29.05,2676.1,81.93,16.37,Kharif
Kota,22.49,48.4,69.77,13.07,Rabi
Jodhpur,30.35,561.4,74.58,19.6,Kharif
Jodhpur,22.67,23.4,57.66,15.71,Rabi
Nagaur,31.01,383.9,70.49,21.87,Kharif
Nagaur,21.41,60.0,63.81,17.1,Rabi
Alwar,29.14,1101.9,81.42,14.5,Kharif
Alwar,20.22,146.7,73.94,13.5,Rabi
Ajmer,28.03,1282.9,79.64,19.22,Kharif
Ajmer,21.12,53.9,63.37,14.96,Rabi
Bhilwara,27.76,1650.5,83.5,16.02,Kharif
Bhilwara,21.46,62.8,65.94,13.78,Rabi
Sri Ganganagar,31.14,369.2,75.78,14.32,Kharif
Sri Ganganagar,18.53,177.4,83.52,13.03,Rabi
Hanumangarh,31.53,364.4,73.33,15.02,Kharif
Hanumangarh,19.27,106.1,80.26,13.45,Rabi
Jaipur,28.66,1511.2,80.61,16.38,Kharif
Jaipur,20.73,87.0,70.31,13.98,Rabi
